"Id","Sales"
1,4433.13488095
2,8125.41783333
3,8834.8525
4,6657.57454762
5,5884.47266667
6,5563.415
7,8171.09033333
8,8100.273
9,4891.63466667
10,5831.6185
11,6034.92416667
12,7973.72616667
13,7214.909
14,7672.845
15,5362.37366667
16,4364.55166667
17,5924.69680952
18,8723.35916667
19,11085.3715
20,10256.211
21,6838.73966667
22,5933.38566667
23,5817.334
24,3865.0995
25,7645.84466667
26,9837.0171746
27,8873.7375
28,5707.69916667
29,5300.32866667
30,5025.32296429
31,5990.385
32,10250.586
33,7626.15933333
34,5469.646
35,5238.975
36,7109.66083333
37,3724.63633333
38,7010.49283333
39,4322.93
40,8083.31166667
41,9075.485
42,5332.446
43,6913.79366667
44,6606.282
45,4309.21958333
46,6204.555
47,6792.59466667
48,11540.2506667
49,5765.22033333
50,7820.076
51,6381.54064286
52,9758.59783333
53,6247.82247619
54,10084.475619
55,4720.61516667
56,4991.00683333
57,5818.6995
58,5779.124
59,10411.7323333
60,7332.38478571
61,5308.275
62,7730.55590476
63,5586.81916667
64,10632.7299048
65,4004.19
66,13039.8726667
67,4799.555
68,5483.76533333
69,8279.4005
70,5473.964
71,5970.021
72,6424.88266667
73,7350.37628571
74,5139.67633333
75,6112.115
76,7288.42
77,7625.303
78,7363.20666667
79,4196.67416667
80,6904.464
81,10556.5216429
82,6114.61466667
83,4569.272
84,7330.83133333
85,5972.3355
86,8069.58233333
87,7404.3175
88,4172.584
89,7325.11333333
90,6122.249
91,7665.739
92,6419.73377778
93,3749.97666667
94,11093.7708571
95,4998.27
96,7095.31190476
97,9101.83966667
98,5446.7675
99,5586.96142857
100,6822.9115
101,5666.13083333
102,6471.46666667
103,6770.66666667
104,6036.102
105,7572.64161905
106,5933.64266667
107,4422.335
108,7479.68033333
109,9437.71
110,8512.97866667
111,8368.54833333
112,8084.55369048
113,5905.98916667
114,8097.03333333
115,5408.14216667
116,8055.93766667
117,9284.62866667
118,6184.59071429
119,10271.1358333
120,7704.09866667
121,8079.96166667
122,6182.90661905
123,6996.69566667
124,8278.81490476
125,5796.4025
126,3490.04
127,5887.163
128,7704.17083333
129,6610.55819048
130,4867.835
131,8304.657
132,5989.00433333
133,5101.1347619
134,6001.98047619
135,5401.19104762
136,7173.32966667
137,7600.6185
138,7242.32333333
139,5498.44230952
140,4378.99833333
141,6889.323
142,3469.99666667
143,6061.28466667
144,5016.46909524
145,8768.33
146,6251.56266667
147,5618.16133333
148,7475.014
149,4685.63
150,5219.68066667
151,10028.5425
152,6397.766
153,8168.54666667
154,7341.99266667
155,6140.0512381
156,6086.96902381
157,4889.31166667
158,7794.39216667
159,11614.9183333
160,6209.403
161,3255.00416667
162,4762.57966667
163,8567.353
164,9005.4875
165,6029.76833333
166,7366.834
167,4883.427
168,6153.59333333
169,3296.70116667
170,4971.0385
171,5973.74533333
172,6199.33366667
173,7418.1515
174,6973.10966667
175,7724.60035714
176,9082.69616667
177,7085.34433333
178,4792.6315
179,9175.99633333
180,10790.2113333
181,7025.22271429
182,7646.6325
183,5408.983
184,6909.07285714
185,4534.2977619
186,8035.89333333
187,5052.5355
188,9093.23416667
189,7461.99483333
190,9105.63133333
191,8153.8125
192,5344.45940476
193,8438.85033333
194,18525.6399524
195,10504.815
196,6080.71747619
197,3038.31866667
198,6266.491
199,9786.88666667
200,5304.89833333
201,11486.2793333
202,18426.6655238
203,3442.34
204,5226.96133333
205,9786.0715
206,4752.81
207,9500.62592857
208,6995.92883333
209,7099.33583333
210,3376.945
211,7084.91866667
212,7712.0105
213,7534.7145
214,8478.95333333
215,6553.495
216,5310.03583333
217,5450.62
218,4829.2
219,4756.41011905
220,7607.6405
221,6365.86
222,6021.087
223,7392.57166667
224,6112.21508333
225,5261.61666667
226,7033.39861905
227,6740.818
228,8753.88283333
229,6489.575
230,7078.80771429
